127.0.0.1 - - [05/Jun/2023:17:38:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:39:36 +0900] "GET /kosSpring/fileupload/board/2%EC%9C%99%ED%81%AC_5_.png HTTP/1.1" 200 22092
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:39:36 +0900] "GET /kosSpring/fileupload/board/2%EC%9C%99%ED%81%AC_4_.png HTTP/1.1" 200 22092
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:39:36 +0900] "GET /kosSpring/fileupload/board/2%EC%9C%99%ED%81%AC_3_.png HTTP/1.1" 200 22092
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:39:36 +0900] "GET /kosSpring/fileupload/board/2%EC%9C%99%ED%81%AC_2_.png HTTP/1.1" 200 22092
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:39:40 +0900] "GET /kosSpring/kosProductInsertForm.lhd HTTP/1.1" 500 10644
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:40:43 +0900] "GET /kosSpring/index.html HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:40:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:40:45 +0900] "GET /kosSpring/kosProductInsertForm.lhd HTTP/1.1" 500 10644
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:40:59 +0900] "GET /kosSpring/index.html HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:40:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:42:45 +0900] "GET /kosSpring/kosProductInsertForm.lhd HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:47:42 +0900] "GET /kosSpring/index.html HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:47:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:48:55 +0900] "GET /kosSpring/kosProductInsertForm.lhd HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:49:32 +0900] "POST /kosSpring/kosProductInsert.lhd HTTP/1.1" 500 11549
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:50:57 +0900] "GET /kosSpring/kosProductInsertForm.lhd HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:50:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:51:10 +0900] "POST /kosSpring/kosProductInsert.lhd HTTP/1.1" 500 11787
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:51:53 +0900] "POST /kosSpring/kosProductInsert.lhd HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:53:38 +0900] "GET /kosSpring/kosProductInsertForm.lhd HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:53:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2023:17:53:47 +0900] "POST /kosSpring/kosProductInsert.lhd HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [05/Jun/2023:18:15:52 +0900] "GET /kosSpring/index.html HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [05/Jun/2023:18:15:54 +0900] "GET /kosSpring/index.html HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [05/Jun/2023:18:15:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2023:18:15:58 +0900] "GET /kosSpring/productDummy.lhd HTTP/1.1" 500 12138
0:0:0:0:0:0:0:1 - - [05/Jun/2023:18:19:10 +0900] "GET /kosSpring/index.html HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [05/Jun/2023:18:19:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2023:18:19:15 +0900] "GET /kosSpring/productDummy.lhd HTTP/1.1" 200 2057
